제목,날짜
 ‘우리 여행적금2’ 출시,2019.09.04
"기술보증기금, 일본 수출규제 피해기업 등에 4100억 금융지원",2019.09.04
 『우리 건설산업 지원통장』신상품 출시,2019.09.04
‘우리WON뱅킹’특화상품 5종 출시,2019.09.02
 추석연휴 이동점포「위버스(WeBus)」운영,2019.08.30
 새로운 스마트뱅킹‘우리WON뱅킹’ 출시,2019.08.28
 보이스피싱 악성앱 탐지 서비스 실시,2019.08.27
"룹, 여름보다 뜨거웠던‘사랑의 헌혈 캠페인’성황리 종료",2019.08.26
 소상공인 5개협회와 ‘포용적금융 생태계조성을 위한 업무협약’ 체결,2019.08.23
 중소벤처기업부 및 한국여성경제인협회와 ‘자상한 기업 업무협약’ 체결,2019.08.21
 유튜브 채널 ‘웃튜브’ 대고객 이벤트 실시,2019.08.20
 추석명절 대비 15조원 규모의 중소기업 지원책 발표,2019.08.18
 인터넷뱅킹을 통한 전화신규 서비스 실시,2019.08.16
 ‘리그오브레전드 챔피언스 코리아 서머’ 결승전 이벤트 실시,2019.08.14
 국민연금·공무원연금 등 연금수급 고객을 위한 감사 이벤트 실시,2019.08.13
 「우리 삼성 페이」 환전 100% 환율우대 이벤트 실시,2019.08.08
 소상공인 전용 비대면 통장 『우리사장님e편한통장』신상품 출시,2019.08.07
 8.15 광복절 74주년 기념 상품 출시 및 이벤트 실시,2019.08.06
 글로벌 수준의 고객확인제도 시행,2019.08.05
 日수출규제 피해 기업에 3조원 규모 금융지원,2019.08.04
 ‘환테크 전략 및 미국부동산 시장 분석’ 세미나 실시,2019.07.31
 차세대 AMP 수료식 실시,2019.07.25
 ‘내 돈 어디에 투자할까’ 금융 및 부동산 세미나 개최,2019.07.24
 특성화고 신입행원 특별채용 설명회 실시,2019.07.23
"룹, 친환경 문화 확산을 위한 캠페인 실시",2019.07.23
"장, “하반기는 대도약기, 최고의 성과 창출하라”",2019.07.22
 ‘청약통장 인터넷(스마트)뱅킹 가입 경품 이벤트’ 실시,2019.07.19
 건설공제조합과 건설사 해외공사 지원을 위한 신상품 출시,2019.07.17
 청년창업기업 지원을 위한 업무협약 체결,2019.07.16
 퇴직연금 수익률 관리 위해 퇴직연금 자산관리센터 신설,2019.07.12
 통신사 거래정보를 활용한 ‘우리 비상금 대출’ 출시,2019.07.11
 여름 휴가철 이동점포 ‘해변은행’ 운영,2019.07.10
"룹, ‘정보보호의 날’ 캠페인 실시",2019.07.09
"룹,‘사랑의 헌혈 캠페인’실시",2019.07.08
로봇기반 업무자동화(RPA) 도입,2019.07.04
 양파 구매 운동 동참,2019.07.04
"룹, 3조원 규모 우리혁신성장펀드 출범",2019.07.03
 독립유공자 후손 후원금 마련위한 업무협약 체결,2019.07.02
 디지털금융 경쟁력 강화를 위한 BIB 체제 시행,2019.07.02
인사명단(발령일자 : 2019.07.01),2019.07.02
"룹, 베트남에 인공지능 신용평가 도입, 개인 신용대출 본격화",2019.07.01
 오픈API 플랫폼 및 개발자 포털 공개,2019.06.28
"룹, 취약계층 폭염 피해 예방을 위한 봉사활동 실시",2019.06.25
 새로워진 “위비뱅크” 이용현황 공개,2019.06.24
 ‘핑크퐁과 아기상어 통장’ 및 ‘저축송’ 출시,2019.06.20
 실거래 분석 통한 중소형 빌딩 투자 세미나 개최,2019.06.20
 ‘2019년 하반기 환율/금리 전망 세미나’ 개최,2019.06.18
 은퇴전후 고객을 위한 ‘시니어플러스 우리 패키지' 출시,2019.06.14
공제』 이제 우리은행에서 가입 하세요,2019.06.11
 ‘시니어를 위한 안전한 스마트폰 활용법’ 교육 실시,2019.06.07
"룹, 2019년 국민연금공단 공동 글로벌 사회공헌 봉사활동 실시",2019.06.07
 아시안뱅커(Asian Banker) 선정 7년 연속 ‘한국 최우수 자금관리 은행’ 수상,2019.05.31
 ‘우리 외화바로예금’ 신규 가입 고객 이벤트 실시,2019.05.30
 금융권 최초 제54회 「발명의 날」 표창 수상,2019.05.28
"룹, 캄보디아 전자지급결제사 Wing과 실시간 해외송금 서비스 제휴 체결",2019.05.27
 바람직한 기업문화 조성 캠페인 실시,2019.05.27
 ‘소상공인 세이브 패키지’ 가입 이벤트 실시,2019.05.21
 ‘지금 사야 할 수익형부동산 투자노하우’ 세미나 개최,2019.05.19
 무신용장 무역거래 지급보증 서비스 출시,2019.05.19
 불광동지점 준공식 실시,2019.05.16
 프랜차이즈 가맹점 창업아카데미 개최,2019.05.16
 『우리 삼성 페이 환전 서비스』 출시,2019.05.14
 고객 맞춤형 서비스 제공을 위한 '디지털 사이니지' 도입,2019.05.10
 양질의 노인 일자리 창출을 위한 업무 협약 체결,2019.05.10
 한국물 최초 ‘포모사 지속가능채권’ 4억5000만불 발행,2019.05.10
 ‘건강한 우리(Woori) 만들기’ 프로그램 실시,2019.05.09
 인천지점 개점 120주년 기념행사 실시,2019.05.09
‘핑크퐁과 아기상어’스마트스터디와 영유아 마케팅 업무협약 체결,2019.05.07
 인니 우수고객 초청 글로벌 자산관리 세미나 실시,2019.05.03
 외국인 전용 모바일 해외송금 ‘우리글로벌퀵송금’서비스 출시,2019.05.03
 산불 피해지역 주민 지원을 위한 지역특산물 바자회 실시,2019.04.30
"룹, ‘We Believe 동행 콘서트’ 개최",2019.04.30
 국민연금공단 서울북부지역본부와 신중년 지원을 위한 협약 체결,2019.04.29
 글로벌 수준의 자금세탁방지 시스템 구축,2019.04.26
 5월 가정의 달 맞아 ‘우리가족 투게더 이벤트’ 실시,2019.04.25
" 블랙핑크 광고영상 It’s ME , It’s WE 공개",2019.04.18
 2019년 상반기 300명 신규 채용,2019.04.18
 SK텔링크와 글로벌 디지털 비즈니스 협력을 위한 업무협약 체결,2019.04.17
 베트남 투자 세미나 실시,2019.04.16
 온실가스 감축 위해 업무용 전기차 도입,2019.04.12
 금융거래수수료 면제되는‘상가관리비 자동납부 서비스’ 실시,2019.04.11
 ‘우리 삼성 페이 통장·체크카드 신규가입” 서비스 실시,2019.04.10
 대한민국 임시정부 수립 100주년 기념 ‘우리 특판 정기예금’ 출시,2019.04.09
 네이버 라인 인공지능 기술 협업을 위한 MOU 체결,2019.04.05
 취약계층 대상 원금상환 지원제도 실시,2019.04.04
 스타트업 협력 프로그램 ‘디노랩’ 출범,2019.04.04
 더욱 간편해진 위비뱅크 오픈,2019.03.29
" 소상공인과 지역중소기업을 위해 우대금리 대출, 보증료 지원 등 특별금융 제공",2019.03.27
"리금융그룹회장, 자사주 5천주 매입",2019.03.26
 상각형 조건부자본증권 3천억원 발행 성공,2019.03.19
 사회초년생 전용‘첫급여 우리통장' 출시,2019.03.18
 한국정보통신·ADT캡스와 ‘소상공인·창업기업 공동지원 업무협약’ 체결,2019.03.13
 ‘우리 CUBE론-X’ 중소기업 대출 출시,2019.03.11
 뱅크샐러드와 데이터 경제 활성화를 위한 협약 체결,2019.03.05
 소상공인 창업지원센터 운영,2019.03.04
 방글라데시 현지 디지털 영업 강화,2019.02.26
 중국 특화 해외송금서비스 출시,2019.02.25
 수익형부동산 투자 세미나 개최,2019.02.20
 원화 ‘지속가능채권’ 2천억 발행 성공,2019.02.18
2018년 당기순이익 2조 192억원 달성,2019.02.12
 Grab(그랩) 캄보디아와 그랩 드라이버 전용 금융상품 제공을 위한 MOU 체결,2019.02.07
 ‘우리 120년 고객동행 정기 예·적금’ 추가판매,2019.01.31
" ‘우리 외화바로 예금’, ‘외화바로 체크카드’ 출시",2019.01.31
 ‘Two Chairs 프리미엄 잠실센터’ 개점,2019.01.30
 블랙핑크와 광고모델 계약체결,2019.01.29
 국군재정관리단과 카드형 군인연금증서 발급사업 업무협약 체결,2019.01.29
 설 연휴 이동점포「위버스(WeBus)」운영,2019.01.28
 대림동외국인금융센터 개점,2019.01.22
 외환업무 강화를 위해 벨소프트와 업무협약 체결,2019.01.17
 화재피해 소상공인과 서민을 위한 특별 금융지원,2019.01.10
 리그 오브 레전드(LOL) 타이틀스폰서 조인식 실시,2019.01.10
 창립 120주년 기념 고객 감사 이벤트 실시,2019.01.09
 ‘우리 소상공인 120 대출’ 상품 출시,2019.01.08
 ‘우리 120년 고객동행 예·적금’ 출시,2019.01.07
창립 120주년 기념식 개최,2019.01.04
 창립 120주년 기념 ‘잼라이브 퀴즈쇼’ 실시,2019.01.03
 창립 120주년을 맞아 ‘새희망홀씨대출’ 최대2.0%포인트 금리우대,2019.01.02
 120년 역사를 기반으로 ‘고객과 함께 위대한 은행 도약’ 선언,2019.01.02
 ‘복(福)과 성공’ 기원하는 중화권 특화 이벤트 실시,2019.01.02
‘2018 우리은행과 함께하는 예술의전당 제야음악회’실시,2018.12.26
" 한국방송통신전파진흥원, 스마트미디어산업진흥협회와 업무협약 체결",2018.12.24
 지역경제 활성화를 위해 서울지역 자치구와 특별금융지원 협약 체결,2018.12.24
 「인터넷 선물환 거래」 서비스 실시,2018.12.21
 겨울 환전 이벤트 ‘해피드림’ 실시,2018.12.21
 리버스멘토링 「채움멘토단」 도입,2018.12.17
 국민연금공단 정보시스템 개발 착수,2018.12.16
 3조원 규모 혁신성장펀드 조성,2018.12.13
‘위비핀테크랩 시네마 데모데이’개최,2018.12.12
인사명단(발령일자 : 2018.12.10),2018.12.11
 외국인 고객을 위한 김포외국인금융센터 개점,2018.12.10
 부산에서 ‘일본 부동산 투자세미나’ 개최,2018.12.06
" 퇴직연금 DB형, DC형 수수료 인하",2018.12.05
 The Banker誌 선정 ‘2018 한국 최우수은행’ 수상,2018.12.03
 적금ㆍ정기예금 47개 상품 금리 인상,2018.11.30
인사,2018.11.30
주 임원 내정 및 우리은행 임원 인사 단행,2018.11.30
 소상공인 유동성 지원을 위한 카드결제대금 휴일 입금 서비스 실시,2018.11.30
 중소기업 대상 ‘2019년 환율 전망 세미나’ 개최,2018.11.27
 중견기업 성장 지원을 위해 2022년까지 3조원 지원,2018.11.21
 베트남 특화 해외송금서비스 실시,2018.11.20
 ‘스무살 우리’ 홍보대사 발대식 실시,2018.11.19
 ‘우리 여행적금’ 출시,2018.11.16
 수능 수험생들을 위한 ‘반가워 스무살 공감 이벤트’ 실시,2018.11.15
" 우리카드, 제주항공, 현대백화점면세점 신상품 출시 위한 업무협약 체결",2018.11.12
 일본 부동산 투자 세미나 개최,2018.11.09
"이사회, 지주 회장으로 손태승 현 은행장 내정",2018.11.08
 스타트업얼라이언스와 ‘우리스타트업데이’ 실시,2018.11.02
 SK그룹과 포용적 금융 실천을 위한 업무협약 체결,2018.10.31
 퇴직연금 가입자를 위한 고금리 정기예금 판매 실시,2018.10.30
"리은행장,‘2018년 한국전문경영인 대상’수상",2018.10.29
3분기 누적 당기순이익 사상 최고 실적,2018.10.26
 한국무역협회와『스타트업 해외 진출 지원을 위한 업무협약』 체결,2018.10.26
 ‘어서와! 적금은 처음이지?’ 이벤트 실시,2018.10.25
 ‘중소기업 취업·창업 청년을 위한 주택도시기금 전세대출고객 선물이벤트’ 실시,2018.10.23
 부산신용보증재단과 소상공인 금융지원을 위한 특별출연 업무협약 체결,2018.10.19
 직업계고 학생을 위한 ‘매직고 우리 적금’ 출시,2018.10.18
 코리아스타트업포럼과 ‘공동사업·금융지원’추진을 위한 업무협약 체결,2018.10.17
 유럽법인 설립 인가 획득,2018.10.16
 인도네시아 재난구호 성금 전달,2018.10.15
 직방과 ‘부동산 신사업 개발을 위한 포괄적 업무협약’ 체결,2018.10.12
 ‘스무살우리’ 대학생 홍보대사 모집,2018.10.11
 태풍 피해 소상공인과 서민을 위한 특별 금융지원,2018.10.08
 국내은행 최초 아시아지역 현지 심사센터 신설,2018.10.08
 법무법인 광장과 후견제도 활성화를 위한 ‘우리후견지원신탁 업무협약’ 체결,2018.10.05
 보이스피싱 피해예방 경찰관에 감사장 전달,2018.10.04
 2018 신입행원 채용설명회 실시,2018.10.02
 10월 한달간 인터넷뱅킹·스마트뱅킹 이체수수료 전액 면제,2018.09.27
 부동산플랫폼 ‘위비홈즈’웹서비스 실시,2018.09.27
 대구신용보증재단과 소상공인 금융지원을 위한 특별출연 업무협약 체결,2018.09.21
 아동수당 수령 고객 대상 ‘우리아이 미래행복 이벤트’ 실시,2018.09.19
 추석맞이 ‘주택청약종합저축 가입 이벤트’ 실시,2018.09.18
" ‘러블리추석, 달달환전 이벤트’ 실시",2018.09.17
 추석연휴 맞이 이동점포「위버스(WeBus)」운영,2018.09.14
 제주신용보증재단과 소상공인 금융지원을 위한 특별출연 업무협약 체결,2018.09.12
 소상공인 전용 스마트 세무지원 제휴서비스「세(稅)친구」출시,2018.09.11
 「우리장애인사랑신탁」 상품 출시,2018.09.06
‘한가위 맞이 소외계층 사랑나눔 행사’실시,2018.09.05
 캄보디아에 글로벌 자원봉사단 파견,2018.09.04
 ‘영업행위 윤리준칙’ 실천 다짐,2018.08.31
 시중은행 최초 주52시간 근무제 조기도입을 위한 노사합의,2018.08.30
 태풍 피해 소상공인과 서민을 위한 특별 금융지원,2018.08.24
융 『보상·기부형 크라우드펀딩 오픈』,2018.08.23
 국민연금공단과 공동으로 글로벌봉사단 발대식 개최,2018.08.23
"우리다문화장학재단, ‘다문화자녀 글로벌 문화체험’ 실시",2018.08.16
 부산 동래지점 개점 100주년 기념행사 실시,2018.08.16
 20대를 위한 ‘스무살우리 적금’ 출시,2018.08.14
 소상공인시장진흥공단 정책자금 대출 신청서류 접수대행 업무협약 체결,2018.08.13
 리듬체조 국가대표 서고은 선수 후원,2018.08.06
 ‘우리챔프 복합예금 2018-11호’ 판매,2018.08.02
 ‘일석이조’ 해외 유학생 송금 이벤트 실시,2018.08.01
 외화 후순위채권 3억불 발행 성공,2018.07.31
 2018년 하반기 경영전략회의 개최,2018.07.30
 인천신보와 중소기업 및 소상공인의 금융지원을 위한 업무협약 체결,2018.07.27
 원화 ‘신종자본증권’ 4천억 발행 성공,2018.07.26
 기술보증기금과 중소기업 성장 지원 플랫폼 구축을 위한 업무협약 체결,2018.07.25
 금융소비자보호 및 글로벌 리스크관리 조직 확대개편,2018.07.25
G와 ‘사회임대주택 공급 활성화를 위한 업무협약’ 체결,2018.07.23
"상반기 당기순이익 1조 3,059억원 달성",2018.07.23
 2018년 그룹 채용규모 1000명으로 확대,2018.07.19
 경기도 교육청과 직업계고 지원을 위한『HIFIVE TOGETHER』업무협약 체결,2018.07.18
 신용보증기금과 생산적 금융 활성화를 위한 업무협약 체결,2018.07.16
"우리다문화장학재단, ‘다문화부부 합동결혼식’ 개최",2018.07.16
 여름 휴가철 이동점포 ‘해변은행’ 운영,2018.07.12
 인도 현지학교 기부금 전달행사 실시,2018.07.11
 시중은행 최초 ‘임팩트 투자 펀드’에 50억 출자,2018.07.09
"리은행장, 전국 현장을 돌며 직원 소통과 화합 이끌어",2018.07.06
 고용노동부와 사회적기업 생태계지원을 위한 업무협약 체결,2018.07.05
 한국무역협회와 중소기업의 인도 및 동남아 진출 지원을 위한 업무협약 체결,2018.07.04
전북도·전북신보와 중소기업 및 소상공인 금융지원 강화를 위한 업무협약 체결,2018.07.04
‘사랑의 헌혈 캠페인’ 전개,2018.07.03
인사 명단(20180703),2018.07.03
 어린이 대상 ‘출발! 은행탐험대’ 운영,2018.07.01
 수협은행과 ‘외환업무 발전을 위한 업무협약’ 체결,2018.06.29
경남신보와 중소기업 및 소상공인 금융지원 강화를 위한 업무협약 체결,2018.06.28
"융, ‘PEF의 GP등록 완료’ - 하반기 창업벤처PEF 설립 추진 -",2018.06.27
 혁신성장 기업에 최대 10억원씩 직접투자 나선다,2018.06.25
 캄보디아 금융사 인수해 글로벌네트워크 410개 달성,2018.06.25
 법무부 교정본부와 수용자 보관금·예탁금 금고업무 협약 체결,2018.06.21
 디지털 혁신 및 정보보호 강화를 위한 조직개편,2018.06.20
 지주체제 전환 이사회 결의,2018.06.19
 경기신용보증재단과 중소기업 및 소상공인을 위한 금융지원 업무협약 체결,2018.06.19
 여름 환전 이벤트 ‘우리들의 환전’ 실시,2018.06.18
 무료 웹툰 서비스 ‘위비툰’ 출시,2018.06.15
 캠코와 함께하는 ‘2018년 공매투자 아카데미 서울’ 개최,2018.06.14
"우리다문화장학재단, ‘다문화자녀 글로벌 문화체험단’ 모집",2018.06.14
 CJ오쇼핑과 협력기업 상생지원을 위한 업무협약 체결,2018.06.12
"우리다문화장학재단, 다문화 학생 430명 선발 장학금 6억 지원",2018.06.07
 위비멤버스 회원 대상 ‘썸머시즌 이벤트’ 실시,2018.06.05
 ‘우리Champ복합예금 18년-9호’ 판매,2018.06.04
 중소기업 대상 ‘매출채권보험 패키지’ 출시,2018.05.31
 중국 우수고객 초청 글로벌 자산관리 컨설팅 실시,2018.05.30
 ‘후순위채’ 2000억원 발행 성공,2018.05.29
 난치병 어린이 소원 성취 후원 나서,2018.05.28
아시안뱅커 선정 The Asian Banker Transaction Awards 3개 부문 최우수銀 수상,2018.05.25
 외국인을 위한 평택외국인일요송금센터 개점,2018.05.21
 종합금융그룹 경쟁력 확보를 위해 지주전환 추진,2018.05.21
 “착한일자리 창출 중소기업 정기예금” 특판 실시,2018.05.18
 중소기업 수출활성화를 위한 ‘수출아카데미’ 개최,2018.05.17
 ‘우리 투게더 고객감사 이벤트’ 경품 증정 행사 실시,2018.05.16
 다문화 부부 합동결혼식 참가자 모집,2018.05.14
 중소형 빌딩 투자 고객을 위한 ‘부동산 투자 Talk Concert’ 실시,2018.05.14
 기업 “일자리 지원 대출” 특판 실시,2018.05.10
 ‘도서벽지 어린이 서울초청 행사’ 실시,2018.05.10
 차세대 전산시스템 정상 가동,2018.05.08
 가정의 달 맞아 ‘우리투게더 가족행복 이벤트’ 실시,2018.05.08
"장학재단, 결혼이민자 대상 문화교육 프로그램 실시",2018.05.08
 ‘우리Champ복합예금 18년-7호’ 판매,2018.05.04
"리은행장, 청원경찰 등 숨은 공로자에게 감사의 마음 전달",2018.05.02
 중소기업 수출활성화를 위한 ‘수출아카데미’ 수강생 모집,2018.04.30
 무디스 신용등급 A1으로 1단계 상향,2018.04.30
 신규 일자리 창출을 위한 연간 채용규모 확대,2018.04.27
"장학재단, 재능보유자 등 ‘다문화 장학생 430명’ 모집",2018.04.25
"장학재단, 다문화가족 대상 경제·금융교육 실시",2018.04.23
 경상이익 기준 사상 최대 실적 달성,2018.04.20
 신용보증기금과 「중소기업 매출채권보험 관련 금융지원을 위한 업무협약」체결,2018.04.20
 국민연금·공무원연금 등 주요 연금수급 고객을 위한 감사 이벤트 실시,2018.04.18
"은행사박물관, 어린이 금융 체험교실 운영",2018.04.16
 ‘우리 투게더 토픽 데이’ 행사 개최,2018.04.16
 중증장애청년을 위한 서울시‘이룸통장’ 사업 지원,2018.04.13
 기업은행과 협력을 통해 중국 항공기금융 시장 진출,2018.04.13
"융㈜ 괴물팔뚝 마동석 주연 영화 <챔피언>,단 하루만에 크라우드펀딩 성공!",2018.04.12
 서울시 청년수당 전용통장/카드 발급 실시,2018.04.12
 중소 수출입기업 대상 환리스크 관리 세미나 실시,2018.04.11
"리은행장, 미래 은행장이 될 신입행원들과 소통 행사 실시",2018.04.10
리은행장 등 임원진 자사주 매입,2018.04.09
 ‘위비핀테크랩 3기’ 5개 스타트업 선발,2018.04.09
 소방산업공제조합과 ‘소방산업 발전을 위한 금융지원 업무협약’ 체결,2018.04.04
 기술 우수기업 지원을 위한 고객참여형 ‘오픈심사제’ 도입,2018.04.02
 청년 일자리 확대를 위한 신입행원 공채 실시,2018.03.30
 인터브랜드 선정 ‘브랜드가치 톱50’ 신규 진입,2018.03.29
최고 경영진 자사주 매입,2018.03.28
 교육부와 직업계고 발전과 지원을 위한 포괄적 업무협약 체결,2018.03.28
"기업은행 컨소시엄,‘서울외곽순환고속도로 북부구간 요금인하’ 금융 약정 체결",2018.03.28
 주택도시보증공사와 모바일 전세보증금 반환보증 활성화를 위한 업무협약 체결,2018.03.27
 국내 최초로 빅데이터를 활용한 ‘기업진단시스템’ 도입,2018.03.27
"딩 활성화에 나선 우리종금, 벤처기업 “핸드허그” 펀딩 초과 성공",2018.03.27
 서민의 금융부담 경감을 위해 ‘새희망홀씨대출’ 리모델링 실시,2018.03.26
글로벌 투자전문가 대표 영입으로 경쟁력 강화,2018.03.26
 여자농구 6연속 통합우승 및 V10 달성 기념 ‘우리 투게더 고객감사 이벤트’ 실시,2018.03.26
 무역보험공사와 수출 활성화 및 일자리 창출 지원을 위한 업무협약 체결,2018.03.20
"리은행장, ‘1일 지점장’ 통해 영업 현장과 소통 경영 실시",2018.03.19
 ㈜토킹코리아와 한국어 금융·교육 융합 서비스 개발을 위한 업무제휴 협약 체결,2018.03.19
 우수 사회복지 프로그램 공모,2018.03.16
 굿네이버스와 ‘청소년 미래드림 프로젝트 업무협약’ 체결,2018.03.16
 ‘웰리치100 은퇴설계 세미나’ 개최,2018.03.14
 英 애버딘 스탠다드 인베스트먼츠와 전략적 업무제휴 협약 체결,2018.03.14
"리은행장, 자사주 5천주 매입",2018.03.09
 지역산업 구조조정에 따른 특별 금융지원 실시,2018.03.09
 ‘신학기 청약저축 가입 고객 대상 경품 이벤트’ 실시,2018.03.08
서울신용보증재단과 ‘우리은행과 함께하는 프랜차이즈가맹점 창업아카데미’개최,2018.03.07
 소방청에 ‘우리119 희망 드림’ 기부금 전달,2018.03.07
 우리어린이집 ‘새솔점’ 개원,2018.03.06
"장학재단, 신임 이사장에 손태승 우리은행장 선임",2018.03.05
‘2017~18 여자프로농구 정규리그 우승기념 정기예금 특별금리우대 이벤트’ 실시,2018.03.05
 서울산업진흥원·서울신용보증재단과 ‘일자리 창출 및 중소기업·소상공인 금융지원을 위한 업무협약’ 체결,2018.03.02
"리은행장, 영업현장 직원들과 공감동행 실시",2018.03.02
"리은행장, 우리미소금융재단 회장 취임",2018.02.27
 ‘위비핀테크랩 3기’ 모집,2018.02.22
 ‘주택청약종합저축 가입고객 감사 이벤트’ 실시,2018.02.19
 설연휴 모든 금융거래 정상 가동,2018.02.13
 복지소외계층 지원을 위해 ‘우리함께 행복나눔 기금’ 전달,2018.02.12
" 2017년 당기순이익 1조 5,121억원 달성",2018.02.08
융 FY2017 영업이익 217억원,2018.02.07
 ‘우리Champ복합예금 18년-2호’ 판매,2018.02.05
"리은행장, 김영주 고용노동부 장관과 함께 '찾아가는 일자리 안정자금 현장 접수' 지원",2018.02.02
 광주·전남신용보증재단과 지역 소기업·소상공인 금융지원을 위한 업무협약 체결,2018.02.02
"융, 최고 연 2.8% ‘The조은 비대면정기예금’ 출시",2018.02.02
 부동산 종합정보 플랫폼 ‘위비홈즈’ 출시,2018.02.01
 2018년 상반기 경영전략회의 개최,2018.01.29
 소외계층에 ‘취임 및 창립기념 축하쌀’ 기부,2018.01.26
 차세대시스템 도입으로 설 연휴 금융거래 일시 중단,2018.01.26
 세븐일레븐·동반성장위원회와 가맹점 동반성장 지원을 위한 업무협약 체결,2018.01.25
 기술보증기금과 대기업·중소기업 동반성장 공동지원을 위한 업무협약 체결,2018.01.24
 국민연금공단과 주거래은행 계약 체결,2018.01.23
 LG CNS와 신기술·신사업 추진을 위한 업무협약 체결,2018.01.22
"리은행장, 데이비드 루벤스타인 칼라일그룹 공동회장과 면담",2018.01.19
 인천공항 제2여객터미널에서 외국인근로자 출국만기보험금 지급 서비스 실시,2018.01.19
 ‘인천국제공항 제2여객터미널 영업점’ 개점,2018.01.16
 ‘우리Champ복합예금 18년-1호’ 판매,2018.01.15
 서울투자운용과 임대주택 공급 활성화를 위한 업무협약 체결,2018.01.10
 창립 119주년 기념식 개최,2018.01.04
 허위사실 유포자 형사 고소,2018.01.04
 이웃돕기 성금 10억원 기탁,2018.01.03
" ‘운수대통 정기예금, 정기적금’ 출시",2018.01.02
"리은행장, 내실과 신뢰를 기반으로 한 종합금융그룹 도약 선언",2018.01.02
"리은행장, 영업현장에서 한해 마무리",2018.01.02
인사 명단(20171227),2017.12.27
 새해맞이 중화권 고객 특화 마케팅 실시,2017.12.26
